Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
T-200mb global MERRA2,K,216.948,219.087,-2.139,3.024,3.004,4.878,-0.058
TAUXY ocean MERRA2,N/m^2,0.079,0.078,0.002,0.061,0.053,0.04,0.76
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,51.593,52.557,-0.964,22.626,18.479,13.456,0.803
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,23.975,33.227,-9.252,9.904,10.578,13.334,0.561
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,27.618,19.33,8.288,16.889,11.615,14.295,0.73
CLDTOT_TAU1.3_MISR global MISRCOSP,%,51.651,54.124,-2.473,22.876,20.017,12.399,0.824
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,23.994,31.177,-7.183,10.192,7.557,8.721,0.615
CLDTOT_TAU9.4_MISR global MISRCOSP,%,27.657,22.947,4.71,17.163,14.503,10.7,0.825
CLDLOW_TAU1.3_MISR global MISRCOSP,%,29.883,31.691,-1.808,18.787,16.416,11.567,0.776
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,16.906,20.284,-3.378,11.109,8.318,6.554,0.751
CLDLOW_TAU9.4_MISR global MISRCOSP,%,12.977,11.407,1.57,10.231,9.464,7.756,0.706
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,49.706,49.136,0.571,22.889,21.09,13.433,0.816
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,24.197,25.207,-1.01,10.147,8.754,8.834,0.562
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,25.509,23.929,1.58,17.462,15.24,9.863,0.83
CLDHGH_TAU1.3_MODIS global MODISCOSP,%,35.055,28.028,7.027,21.37,19.236,13.616,0.836
CLDHGH_TAU1.3_9.4_MODIS global MODISCOSP,%,18.898,14.671,4.227,11.146,8.602,8.345,0.745
CLDHGH_TAU9.4_MODIS global MODISCOSP,%,16.157,13.357,2.8,14.025,12.317,9.11,0.788
CLDTOT_CAL global CALIPSOCOSP,%,62.457,67.777,-5.32,20.655,16.171,14.997,0.736
CLDLOW_CAL global CALIPSOCOSP,%,37.358,38.152,-0.794,23.178,17.496,14.425,0.785
CLDMED_CAL global CALIPSOCOSP,%,15.587,18.531,-2.944,13.612,11.133,8.845,0.792
CLDHGH_CAL global CALIPSOCOSP,%,28.398,32.715,-4.317,15.25,16.543,10.601,0.814
TGCLDLWP_OCN global SSMI,g/m^2,54.09,93.988,-39.898,29.561,28.235,40.677,0.759
AODVIS global AOD_550,dimensionless,0.141,0.132,0.009,0.135,0.089,0.095,0.718
TREFHT land ERA-Interim,DegC,4.577,3.108,1.469,18.317,18.896,3.907,0.984
TREFHT global ERA-Interim,DegC,12.886,12.671,0.215,14.617,15.882,2.372,0.991
TREFHT land MERRA2,DegC,4.577,2.584,1.993,18.317,19.474,4.42,0.983
TREFHT global MERRA2,DegC,12.886,12.583,0.303,14.617,16.082,2.552,0.991
PminusE global GPCP_OAFLux,mm/day,0.022,-0.183,0.205,2.886,2.551,1.779,0.829
PminusE global COREv2_Flux,mm/day,0.022,-0.347,0.368,2.965,2.514,1.895,0.805
