Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
CLDHGH_TAU1.3_9.4_MODIS global MODISCOSP,%,17.579,14.207,3.372,12.512,9.372,10.049,0.659
CLDHGH_TAU9.4_MODIS global MODISCOSP,%,14.456,12.335,2.121,13.671,10.896,9.873,0.718
CLDTOT_CAL global CALIPSOCOSP,%,60.692,67.217,-6.525,22.688,17.901,15.452,0.784
CLDLOW_CAL global CALIPSOCOSP,%,34.347,38.022,-3.676,24.394,19.396,14.815,0.81
CLDMED_CAL global CALIPSOCOSP,%,13.676,18.121,-4.445,12.244,10.555,9.854,0.714
CLDHGH_CAL global CALIPSOCOSP,%,30.898,31.579,-0.681,17.083,17.891,9.943,0.84
TGCLDLWP_OCN global SSMI,g/m^2,53.844,97.429,-43.585,31.145,30.569,45.056,0.706
AODVIS global AOD_550,dimensionless,0.171,0.132,0.039,0.185,0.089,0.14,0.729
TREFHT land ERA-Interim,DegC,14.126,13.057,1.069,20.584,19.335,2.913,0.99
TREFHT global ERA-Interim,DegC,15.873,16.115,-0.242,14.522,14.291,1.538,0.995
TREFHT land MERRA2,DegC,14.126,12.794,1.333,20.584,20.238,2.812,0.991
TREFHT global MERRA2,DegC,15.873,16.059,-0.186,14.522,14.671,1.606,0.994
PminusE global GPCP_OAFLux,mm/day,-0.013,-0.177,0.163,3.309,2.885,2.061,0.838
PminusE global COREv2_Flux,mm/day,-0.013,-0.293,0.279,3.389,2.824,2.217,0.814
